Sensor_Name,lat,long
Flinders St-Spark La,-37.816688299999996,144.9667092
Alfred Place,-37.8143404,144.97019419999998
Lygon St (East),-37.784336100000004,144.96973530000002
Lonsdale St-Spring St (West),-37.8093454,144.9720377
Queen St (West),-37.81264609999999,144.9596861
St Kilda Rd-Alexandra Gardens,-37.8204421,144.9721849
Grattan St-Swanston St (West),-37.800399799999994,144.9638985
Monash Rd-Swanston St (West),-37.7985114,144.9642048
Tin Alley-Swanston St (West),-37.7967761,144.96462659999997
Southbank,-37.829,144.957
Little Collins St-Swanston St (East),-37.8145101,144.96608799999998
Pelham St (S),-37.80245379999999,144.96371630000002
Melbourne Central-Elizabeth St (East),-37.8090217,144.96085119999998
QVM-Queen St (East),-37.80757979999999,144.956785
QVM-Therry St (South),-37.80757979999999,144.956785
Faraday St-Lygon St (West),-37.79863220000001,144.9673519
QVM-Franklin St (North),-37.8094943,144.9561881
Elizabeth St-Lonsdale St (South),-37.8122041,144.962311
Lincoln-Swanston(West),-37.805823499999995,144.9631138
Elizabeth St-La Trobe St (East),-37.8103014,144.9614294
Lonsdale St - Elizabeth St (North),-37.8122489,144.9621762
Bourke St Bridge,-37.81595859999999,144.9571985
Bourke St - Spencer St (North),-37.817063,144.95329109999997
Swanston St - RMIT Building 80,-37.808271999999995,144.96264630000002
Swanston St - RMIT Building 14,-37.8075936,144.9632783
La Trobe St (North),-37.8114155,144.9575472
Town Hall (West),-37.8150806,144.9669056
Collins Place (South),-37.818293700000005,144.956676
Collins Place (North),-37.818293700000005,144.956676
Collins St (North),-37.818293700000005,144.956676
Bourke Street Mall (South),-37.8140845,144.964236
Bourke Street Mall (North),-37.8140845,144.964236
Melbourne Central,-37.810236100000004,144.96276519999998
State Library,-37.809808700000005,144.9651897
Southern Cross Station,-37.8183886,144.9524854
Victoria Point,-37.8185564,144.9469186
New Quay,-37.8142524,144.94265900000002
Waterfront City,-37.8154599,144.9391905
Webb Bridge,-37.823352,144.9473047
Birrarung Marr,-37.818735100000005,144.97426240000001
Princes Bridge,-37.8192405,144.96834630000004
Flinders Street Station Underpass,-37.818271100000004,144.9670618
Sandridge Bridge,-37.82003419999999,144.963055
QV Market-Elizabeth St (West),-37.806718,144.9596476
Spencer St-Collins St (North),-37.818988700000006,144.9541878
Spencer St-Collins St (South),-37.8190884,144.9542388
Melbourne Convention Exhibition Centre,-37.8261295,144.9531075
Bourke St-Russell St (West),-37.81281370000001,144.968048
Chinatown-Lt Bourke St (South),-37.8114839,144.96874509999998
Chinatown-Swanston St (North),-37.8124675,144.9649118
Flinders St-Elizabeth St (East),-37.8181479,144.96487119999998
QV Market-Peel St,-37.80757979999999,144.956785
The Arts Centre,-37.820183,144.96810480000002
Lygon St (West),-37.784336100000004,144.96973530000002
Lonsdale St (South),-37.8122489,144.9621762
Flinders La-Swanston St (West),-37.8164851,144.9669885
Flagstaff Station,-37.8117174,144.9561066
Australia on Collins,-37.818293700000005,144.956676
City Square,-37.8158643,144.9669486
Flinders St-Spring St (West),-37.8153717,144.974894
Flinders St-Swanston St (West),-37.8175485,144.9674052
Pelham St (South),-37.80245379999999,144.96371630000002
Lincoln-Swanston (West),-37.805823499999995,144.9631138
Flinders La - Swanston St (West) Temp,-37.8164851,144.9669885
Flinders la - Swanston St (West) Temp,-37.8164851,144.9669885
231 Bourke St,-37.8134076,144.9668472
Royal Pde-Grattan St,-37.7997236,144.9573773
Swanston St - City Square,-37.8162206,144.9669782
State Library-New,-37.809808700000005,144.9651897
